feature,mean_class0,mean_class1,std_class0,std_class1,test_statistic,p_value,significant,cohens_d,test_type
Feature_71,0.29498620133973824,0.5814714222762446,0.4655058623604913,0.5392747791123622,385.0,0.008259409074294666,True,0.568713630136189,Mann-Whitney U
Feature_50,0.13300315605454874,-0.18944294770748318,0.5053215782436608,0.41129517061477144,2.6368817690222786,0.01011721872276696,True,-0.6998844101248044,t-test
Feature_18,0.8626008118873443,2.2621885899265695,2.826874730125433,4.2669906996106315,396.0,0.011703161025161349,True,0.3867029659743068,Mann-Whitney U
Feature_30,-0.5982502983744894,-1.4698961509054131,1.5473384904381213,1.895850816736797,855.0,0.01283295027992111,True,-0.5037276556371169,Mann-Whitney U
Feature_12,-0.07762905711953826,0.41999545741834754,0.828797753851783,0.8806814250160502,400.0,0.013240921976758158,True,0.5819263360431852,Mann-Whitney U
Feature_73,0.3033124204616562,0.7348066510163075,0.7847718767015929,0.8928331379043138,403.0,0.013652770633839208,True,0.5133530630107908,Mann-Whitney U
Feature_28,-0.2422365444794248,0.16801641413024315,0.7094735601313812,0.5624947140100043,402.0,0.014074792348286973,True,0.6408039833243969,Mann-Whitney U
Feature_91,-0.3085931490000098,-0.5694944266762169,0.4744331224063462,0.5214615525733655,848.0,0.014911341709955868,True,-0.5233703364248005,Mann-Whitney U
Feature_95,0.2437905093413965,0.5270930907283202,0.5016833998789266,0.5219952430640058,408.5,0.01700237732774702,True,0.553390130627075,Mann-Whitney U
Feature_47,-0.28814988514015993,-0.5306673239139966,0.4437011220446161,0.48628171458776714,839.0,0.017888787522195557,True,-0.5210066719594517,Mann-Whitney U
Feature_43,0.474718180830018,1.0282798242649542,1.0541981210378868,1.2473287479540627,411.0,0.018398945067004714,True,0.4793538663922235,Mann-Whitney U
Feature_75,0.3081108038624021,0.6608160715325879,0.4767431022088069,0.6291809727328384,413.0,0.019541214376108687,True,0.6318728707962767,Mann-Whitney U
Feature_26,-0.07446875718240939,-0.3928393389386018,0.5224064682758297,0.4767685883995431,835.0,0.019930131335029657,True,-0.6366031597348176,Mann-Whitney U
Feature_16,0.1635386544328942,0.7205719240831767,0.8382752507067978,1.110640557967548,-2.3757673018138394,0.019999480558136815,True,0.5661322585621694,t-test
Feature_44,0.27874766241552157,0.5347357049510936,0.4556406536340319,0.48626180393727897,419.5,0.0235389439075393,True,0.5432683004297646,Mann-Whitney U
Feature_19,0.55218768829913,1.3470739736008859,1.6188853919449924,2.1123546103560438,421.0,0.02460512171928343,True,0.4223928265657376,Mann-Whitney U
Feature_39,-0.0853108296971907,-0.3505549504420836,0.5415683945788607,0.5080466749436142,832.0,0.025311870650703835,True,-0.5051546223666201,Mann-Whitney U
Feature_51,0.10139203586097312,-0.164389366611141,0.5036730709351442,0.4330960997514488,832.0,0.025311870650703835,True,-0.5658390289321223,Mann-Whitney U
Feature_1,-0.2837820987461558,0.26126787995793893,1.01846903858416,0.7351248779039511,-2.261232522017207,0.026567596483634118,True,0.6136783408101664,t-test
Feature_27,-0.06855634501486149,-0.6414414603937616,1.0023131528168479,1.036394017245876,2.2268382786313703,0.028880311401373926,True,-0.5619297296139332,t-test
Feature_94,0.3068830479116969,0.5956406875095721,0.5158853261054392,0.5671059736352122,428.0,0.02993209858750793,True,0.5326639728795777,Mann-Whitney U
Feature_42,0.2847329228851878,0.7012321871497473,0.7293953264583861,0.8931866913424266,439.0,0.04028098566498817,True,0.5107825722152579,Mann-Whitney U
Feature_23,-0.16068949087115628,0.13737763496750782,0.5361522689129505,0.5493449339128714,440.0,0.04137581453510314,True,0.5491402720660626,Mann-Whitney U
Feature_20,0.3395144771987048,0.7814396807160192,0.7471518276607587,0.941237954681036,440.0,0.04137581453510314,True,0.5200623327131173,Mann-Whitney U
Feature_41,0.10010236888636585,-0.22405639033896427,0.5718911980221011,0.7205767184090334,2.066827996818825,0.04211180925220087,True,-0.49832544691735553,t-test
Feature_17,0.7466046064751158,1.9085015168623003,2.0515249407753218,3.441510992571016,442.0,0.043604778900628936,True,0.41011706421881866,Mann-Whitney U
Feature_70,0.2955200848540449,0.5720136977576388,0.46406036443654136,0.5285815234251271,443.0,0.044756770062818925,True,0.5559132210994836,Mann-Whitney U
Feature_64,0.41372411944562304,0.7330048770777345,0.6274559654442072,0.7813867158809522,444.0,0.04485809387874313,True,0.45057108997478823,Mann-Whitney U
Feature_38,-0.2857037800882715,0.4721812073891849,1.5942768572517974,0.5194437894056056,444.0,0.04592110492625494,True,0.6392137768206686,Mann-Whitney U
Feature_62,0.10478119497485977,0.3773613940221598,0.49755413580087227,0.5323489918278417,444.0,0.045933004261501514,True,0.5290298931085075,Mann-Whitney U
Feature_68,-0.0753143074268411,-0.3179827079946947,0.5206041259356521,0.5705156201239717,810.0,0.04593432644945885,True,-0.44434153578845015,Mann-Whitney U
Feature_49,-0.29343869154642965,-0.5373720883249444,0.4524842047191302,0.4940270500332985,804.5,0.0473832334722697,True,-0.5149411183995275,Mann-Whitney U
Feature_85,0.2810954122824144,0.5345824612369504,0.4589390553416428,0.4929203352746002,445.5,0.04748818943794696,True,0.5322754038882961,Mann-Whitney U
Feature_25,-0.10086783281948147,-0.4069261028206958,0.5372047868719645,0.47613253933558447,804.0,0.04771322231088298,True,-0.6029659158612031,Mann-Whitney U
Feature_13,0.21266140762836305,0.6008643505882078,0.7568515801947696,0.8318277469205622,446.0,0.04836783146174865,True,0.4881681780364458,Mann-Whitney U
