feature,mean_class0,mean_class1,std_class0,std_class1,test_statistic,p_value,significant,cohens_d,test_type
Feature_53,-0.12796016506949132,-0.34447078311315266,0.5049155928678556,0.5069277139219741,805.0,0.05222051012241772,False,-0.4279520129375862,Mann-Whitney U
Feature_14,0.18688109179314463,0.5155419229554074,0.608786401268711,0.7027823934795783,451.0,0.054928985154786183,False,0.49988997375827987,Mann-Whitney U
Feature_98,-0.269882516355972,-0.5239629012172313,0.4629619449189261,0.49798795197271434,801.0,0.05775359353852234,False,-0.5284599617479891,Mann-Whitney U
Feature_52,-0.32853116833028884,-0.5729573381647022,0.48068047528754343,0.537766198727922,800.0,0.05921056213061563,False,-0.47924571700546514,Mann-Whitney U
Feature_76,0.6200496786155827,1.198709522750042,1.187595414174991,1.5825533561302823,454.0,0.05921056213061563,False,0.41359981610771557,Mann-Whitney U
Feature_2,0.07844777901744757,-0.2811322851367716,0.7452623477850171,0.6988288629352093,797.0,0.06376552671264317,False,-0.49774463388684675,Mann-Whitney U
Feature_33,0.40536055222486106,0.7843739250527526,0.6977012618697745,0.8326474437031506,461.0,0.0650166402543587,False,0.49341481371588614,Mann-Whitney U
Feature_10,0.21633722469233188,-0.1927745548138312,0.8606593840787992,0.8667628132951211,1.8660303417362798,0.06584520671154659,False,-0.47366443072631403,t-test
Feature_87,0.3724018762675125,0.5964703868156538,0.4962477268043863,0.5372745906979726,459.0,0.06683385364133844,False,0.43326045938999597,Mann-Whitney U
Feature_79,0.4884697843393146,1.1485257384480367,1.1973767000698339,1.5184325640268794,460.0,0.06859601443251641,False,0.4827227696801055,Mann-Whitney U
Feature_82,0.2759762917140295,0.5256997289468543,0.4576143482863463,0.49450448479011105,461.5,0.07092932029991185,False,0.5241702969781988,Mann-Whitney U
Feature_22,0.0972954739975713,0.31762965685897565,0.4767918649014853,0.49503715666666664,462.0,0.07199797614493039,False,0.4533623871337793,Mann-Whitney U
Feature_35,-0.020202340265662345,0.20473290781896322,0.4890692455488644,0.5154051657855556,462.0,0.07199797614493039,False,0.4477127011096456,Mann-Whitney U
Feature_21,0.24677846315342705,0.49702667374111836,0.48312232066955707,0.5323321004097623,462.0,0.07199797614493039,False,0.4923015229570921,Mann-Whitney U
Feature_63,0.1993695710900948,0.4203816137446665,0.4645319639883942,0.4921199854736155,465.0,0.07494635785083852,False,0.46186118011654953,Mann-Whitney U
Feature_81,0.26740646678656843,0.5156830130065203,0.45694840023718414,0.49543167829420787,464.0,0.07548861671069197,False,0.5209560996360588,Mann-Whitney U
Feature_11,-0.04430819795505735,0.5031677958910149,1.0790059570256783,1.0586915957593426,464.0,0.0755259696064577,False,0.5121877739737759,Mann-Whitney U
Feature_15,0.2383496347722093,0.5324340258552357,0.5706278042189027,0.649059852502448,466.0,0.07919381107351782,False,0.4812350591192906,Mann-Whitney U
Feature_29,-0.01931651226865013,0.22431846662550486,0.6780094447504712,0.6764338823597339,468.0,0.08300522005117018,False,0.3597563798781211,Mann-Whitney U
Feature_92,0.3051832953344671,0.5524538129531339,0.4725205446065845,0.5144964286655961,469.0,0.08496592636238644,False,0.5005936399476826,Mann-Whitney U
Feature_58,0.23815530565699372,0.5264851339487429,0.4748134087779804,0.5735811703740081,470.0,0.08565759852038284,False,0.5476159222764173,Mann-Whitney U
Feature_80,0.38207568638810163,0.7804121825593651,0.7548918967811699,0.8882400965246631,470.0,0.08692550512499476,False,0.48326147457552937,Mann-Whitney U
Feature_97,-0.26185696343542725,-0.5241424239548075,0.47309016682992794,0.5007462875701458,782.0,0.09107167295951861,False,-0.5384472005996134,Mann-Whitney U
Feature_36,0.4936373911911482,0.9718207848035366,1.1193756942620725,1.3726087507489706,472.0,0.09107364110030253,False,0.3818108815827872,Mann-Whitney U
Feature_40,0.09587249658686005,-0.3352206047362048,0.9148765943251833,0.6200660128895464,780.0,0.095338098823338,False,-0.5516234309962668,Mann-Whitney U
Feature_72,0.2889275780480421,0.5698373598690074,0.4501257303458944,0.530989329989904,475.0,0.0975295143219847,False,0.5706985991147321,Mann-Whitney U
Feature_45,0.25616632421629765,0.5006160868559919,0.4432441382447245,0.478225197252531,475.5,0.09791410372390541,False,0.5301832650250589,Mann-Whitney U
Feature_4,0.06293866799049842,0.34881258044583,0.7307397760209764,0.5199353938534051,-1.6569087540613185,0.10160740398707158,False,0.4507926869124559,t-test
Feature_32,-0.18167764201822884,-0.4121457469743802,0.4386000722437716,0.4753582758914556,776.0,0.10425325015989022,False,-0.5039221650531532,Mann-Whitney U
Feature_61,0.2981505909614825,0.5317026751727068,0.5001057938688778,0.5534116048857375,479.0,0.10670052435003849,False,0.4428093792044131,Mann-Whitney U
Feature_0,-0.0728770580211939,-0.39386162233557176,0.7998077901686359,0.7111329145491369,1.6267303987600847,0.1078801546971061,False,-0.42415059285230977,t-test
Feature_74,0.26942314765628095,0.5566848697555667,0.5654530368895943,0.6303963285780343,480.0,0.10909690770600243,False,0.4797243830501506,Mann-Whitney U
Feature_96,0.18894340967652407,0.4484022629047923,0.49281479817910717,0.49805568594948707,480.5,0.10995334912216671,False,0.5236914979924385,Mann-Whitney U
Feature_67,0.24559838632723244,0.4779366807122339,0.473213447166524,0.5178197186694635,481.0,0.11153565478336092,False,0.46840673686865153,Mann-Whitney U
Feature_3,0.11931811005603263,-0.22613560307315472,0.7334764497435854,1.0808617089403092,1.6086358531921918,0.11178874785917788,False,-0.3740103015042068,t-test
Feature_84,0.267030412826103,0.5260538435275307,0.4650031979169164,0.4953989254450567,482.0,0.1131648527888844,False,0.5391362545173651,Mann-Whitney U
Feature_60,0.3095418285284863,0.5603702286432374,0.4623070376396323,0.5411417565670111,484.5,0.12040913053010574,False,0.4983968825728817,Mann-Whitney U
Feature_34,0.3376070112335553,0.5940769806385081,0.4760376549661382,0.5366045931188347,487.5,0.12326507747389709,False,0.5056325825082822,Mann-Whitney U
Feature_83,0.26117246165301655,0.5214186907725682,0.47186903213462955,0.5026251503963224,486.5,0.1252746502765443,False,0.5338496923281539,Mann-Whitney U
Feature_59,0.2512456860729851,0.5426132057530922,0.4636684441613453,0.5660669459671236,489.0,0.13261498935690952,False,0.5631301153517876,Mann-Whitney U
Feature_93,0.3424615937511704,0.6226911081295761,0.509165300605235,0.5855760746008642,491.0,0.13833443443612056,False,0.5107131216349691,Mann-Whitney U
Feature_90,-0.3173005692353447,-0.5883020529507516,0.49053392595128975,0.5439500313367637,760.5,0.14302336881392705,False,-0.5232385230734484,Mann-Whitney U
Feature_6,-0.07860899673269488,0.17924211674802137,0.744699202741252,0.5027451519407136,-1.4785802076949655,0.14333183009592462,False,0.4058434803841027,t-test
Feature_37,0.3469775062939887,0.6925996413344744,0.48870029362980116,0.6784644984123032,495.0,0.15007616937720325,False,0.5845663794675333,Mann-Whitney U
Feature_5,-0.04449582725199017,0.20942823152500079,0.7405806653146251,0.5404706468427122,-1.4460372560581924,0.15222497234820478,False,0.3916808696075689,t-test
Feature_78,0.01961866126297894,-0.19204411607238453,0.6514263997423826,0.5570175014127483,758.0,0.15350091438059812,False,-0.3492421719047,Mann-Whitney U
Feature_7,-0.05912953237803191,0.2083063429691605,0.7980166975495389,0.537364091449091,-1.431628022205479,0.1562969388400599,False,0.39312000521780704,t-test
Feature_31,-0.3209007492537806,-0.6056627833204798,0.548579010253511,0.6170841288411277,757.0,0.1565860151999584,False,-0.4877421890785037,Mann-Whitney U
Feature_77,0.42330920844445286,0.7009915369429431,0.5712663069037891,0.6948530461671975,498.0,0.1599023285269192,False,0.43656050272694236,Mann-Whitney U
Feature_24,-0.1983541352641422,0.04715844980395776,0.6930248208213857,0.7353583836737567,-1.3696480436838154,0.174777953232916,False,0.3436120351573531,t-test
Feature_8,-0.08904902591987657,0.16246687749026897,0.7943321749761096,0.5202820249320548,-1.3581084989669414,0.17839546353824834,False,0.3745930985947999,t-test
Feature_86,0.2926681899220445,0.5396950928879239,0.45190675803675207,0.4889961679339958,504.0,0.17932969475640803,False,0.5246773023172644,Mann-Whitney U
Feature_88,-0.3662883789249714,-0.6900258713042731,0.5906458488238276,0.6798377990726536,749.5,0.18181492284131173,False,-0.5083775183002963,Mann-Whitney U
Feature_89,-0.3376914149160905,-0.620056967415013,0.5286500909551204,0.5839090652072859,740.0,0.2167678029031027,False,-0.5069715240276438,Mann-Whitney U
Feature_99,-0.29175765009767163,-0.5263182673869455,0.4505572738253827,0.4980389890443735,737.0,0.23107364274317221,False,-0.4939242007439802,Mann-Whitney U
Feature_57,6.597111718350625,18.390930647159674,24.28410233058248,43.843048877834754,734.0,0.24305867741741316,False,0.33278645292803904,Mann-Whitney U
Feature_56,6.232958532705247,17.57540883879612,23.594529482117473,43.4330364797635,734.0,0.2440937917851137,False,0.3245252940735477,Mann-Whitney U
Feature_9,-0.10915703345958805,0.11739986646806909,0.8487410787880124,0.5400690768901342,-1.1495138851296336,0.25390211247382743,False,0.3184889028933262,t-test
Feature_54,0.22069328451398723,-0.2876973663325985,0.7937410734669098,1.6565702028539446,729.0,0.2630557839942729,False,-0.39140281284449135,Mann-Whitney U
Feature_66,-0.6361744787043054,-2.804410201409501,3.2002392040472643,8.139083239998895,540.0,0.34018536025736446,False,-0.35061454704200073,Mann-Whitney U
Feature_46,-0.4882466145610625,-0.23852463527169607,0.6620376317834423,0.5374907417042931,546.5,0.3762549054276323,False,0.41414057340632043,Mann-Whitney U
Feature_48,-0.29942162232875713,-0.5409632447357594,0.4601727976674112,0.49638428740624296,699.0,0.4235926704883588,False,-0.5046614311163533,Mann-Whitney U
Feature_55,0.11736167059488735,-1.946692402272124,2.5272408725468005,7.418205673969235,686.0,0.5177473000485822,False,-0.3724712464809961,Mann-Whitney U
Feature_65,-0.6568717490464522,-2.287528556916804,2.402095626919267,6.436350600555665,572.0,0.5511320411023557,False,-0.3356772245076905,Mann-Whitney U
